link,current_price,old_price,avg_rating,cnt_reviews,title,author,ID товара,Издательство,Издательский бренд,Серия,Год издания,ISBN,Количество страниц,Размер,Тип обложки,Тираж,"Вес, г",Возрастные ограничения,Переводчик,Художник,Тип комикса,Разделы комикса
https://www.chitai-gorod.ru/product/graf-monte-kristo-shedevr-priklyuchencheskoy-literatury-v-odnom-tome-2937778,1057 ₽,1356 ₽,4.3,44 оценки,Граф Монте-Кристо. Шедевр приключенческой литературы в одном томе,Александр Дюма (отец),2937778,Эксмо,,Полное собрание сочинений. Новое оформление,2025,978-5-04-171828-2,1088,5.5x14.7x21.7,Твёрдый переплёт,3000,1140,16+,,,,
https://www.chitai-gorod.ru/product/prazdnik-kotoryy-vsegda-s-toboy-za-rekoy-v-teni-derevev-2859247,781 ₽,1002 ₽,4.0,41 оценка,"Праздник, который всегда с тобой. За рекой, в тени деревьев",Эрнест Миллер Хемингуэй,2859247,АСТ,Neoclassic,Библиотека Классики,2025,978-5-17-137667-3,480,2.6x13x20.5,Твёрдый переплёт,1500,449,16+,,,,
https://www.chitai-gorod.ru/product/o-vseh-sozdaniyah-bolshih-i-malyh-2821574,781 ₽,1002 ₽,4.6,97 оценок,О всех созданиях - больших и малых,Джеймс Хэрриот,2821574,Азбука,,Азбука-бестселлер,2025,978-5-389-17845-8,512,2.4x12x20.5,Твёрдый переплёт,3000,439,16+,,,,
https://www.chitai-gorod.ru/product/nochnye-dorogi-3013231,299 ₽,359 ₽,4.6,5 оценок,Ночные дороги,Гайто Газданов,3013231,Азбука,,Азбука-классика (pocket-book),2024,978-5-389-24369-9,256,1.5x11.5x18,Мягкий переплёт,3000,130,16+,,,,
https://www.chitai-gorod.ru/product/finansist-2379134,284 ₽,365 ₽,3.9,61 оценка,Финансист,Теодор Драйзер,2379134,Азбука,,Азбука-классика (pocket-book),2024,978-5-389-06175-0,608,2.3x11.5x18,Мягкий переплёт,3000,289,16+,,,,
https://www.chitai-gorod.ru/product/barchesterskie-bashni-3005204,330 ₽,424 ₽,4.1,20 оценок,Барчестерские башни,Энтони Троллоп,3005204,АСТ,Neoclassic,Эксклюзивная классика,2023,978-5-17-158236-4,608,2.8x11.5x18,Мягкий переплёт,4000,300,12+,,,,
https://www.chitai-gorod.ru/product/nad-gnezdom-kukuhi-2964284,330 ₽,424 ₽,3.8,44 оценки,Над гнездом кукухи,Кен Кизи,2964284,Эксмо,,Pocket book,2023,978-5-04-176784-6,384,1.5x11.5x18,Мягкий переплёт,5000,190,18+,,,,
https://www.chitai-gorod.ru/product/lunnyy-kamen-2881434,579 ₽,742 ₽,4.1,123 оценки,Лунный камень,Уильям Уилки Коллинз,2881434,Эксмо,,Яркие страницы,2022,978-5-04-154129-3,512,2.9x13.5x20.8,Твёрдый переплёт,5000,469,16+,,,,
https://www.chitai-gorod.ru/product/o-divnyy-novyy-mir-slepec-v-gaze-2821294,855 ₽,1096 ₽,3.9,102 оценки,О дивный новый мир. Слепец в Газе,Олдос Леонард Хаксли,2821294,АСТ,Neoclassic,Библиотека Классики,2024,978-5-17-133405-5,672,3.3x13.5x20.7,Твёрдый переплёт,3000,600,16+,,,,
https://www.chitai-gorod.ru/product/zolotye-yabloki-solnca-3008121,330 ₽,424 ₽,4.0,2 оценки,Золотые яблоки Солнца,Рэй Брэдбери,3008121,Эксмо,,Pocet-book,2023,978-5-04-189304-0,288,1.2x11.7x18,Мягкий переплёт,3000,150,16+,,,,
https://www.chitai-gorod.ru/product/dovody-rassudka-2883297,597 ₽,766 ₽,4.0,121 оценка,Доводы рассудка,Джейн Остен,2883297,АСТ,Neoclassic,Эксклюзивная классика. Лучшее,2023,978-5-17-146265-9,320,2.4x12.5x18.7,Твёрдый переплёт,2000,280,16+,,,,
https://www.chitai-gorod.ru/product/madonna-v-chernom-3065747,689 ₽,884 ₽,4.5,2 оценки,Мадонна в черном,Рюноскэ Акутагава,3065747,АСТ,Neoclassic,Эксклюзивная классика. Лучшее,2024,978-5-17-170286-1,480,2.3x11.9x18.5,Твёрдый переплёт,3000,390,16+,,,,
https://www.chitai-gorod.ru/product/zhiteyskie-vozzreniya-kota-murra-lebens-ansichten-des-katers-murr-3049965,1379 ₽,1769 ₽,4.9,7 оценок,Житейские воззрения кота Мурра = Lebens-Ansichten des Katers Murr,Эрнст Гофман,3049965,АСТ,,Bilingua подарочная: иллюстрированная книга на языке оригинала с переводом,2024,978-5-17-165655-3,512,3.1x16.8x24.1,Твёрдый переплёт,2000,900,6+,,,,
https://www.chitai-gorod.ru/product/portret-hudozhnika-v-yunosti-3025500,299 ₽,359 ₽,4.8,5 оценок,Портрет художника в юности,Джеймс Джойс,3025500,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-162495-8,320,2.4x11.5x18,Мягкий переплёт,3000,190,16+,,,,
