price,const,avg_rating,cnt_reviews,pages_cnt,tirage,publisher_АСТ,publisher_Азбука,publisher_Иностранка,publisher_Эксмо,cover_type_Твёрдый_переплёт,weight/page_cnt,2024_or_2025,6-,16+
299,1.0,4.2,439,352,10000,1.0,0.0,0.0,0.0,0.0,0.6221590909090909,1.0,0.0,0.0
367,1.0,4.3,322,448,15000,1.0,0.0,0.0,0.0,0.0,0.6026785714285714,1.0,0.0,1.0
339,1.0,4.1,106,992,7000,1.0,0.0,0.0,0.0,0.0,0.4838709677419355,1.0,0.0,0.0
459,1.0,4.2,601,608,8000,1.0,0.0,0.0,0.0,0.0,0.5921052631578947,1.0,0.0,1.0
321,1.0,4.0,323,736,10000,1.0,0.0,0.0,0.0,0.0,0.4741847826086957,1.0,0.0,1.0
358,1.0,4.1,385,288,7000,1.0,0.0,0.0,0.0,0.0,0.7256944444444444,1.0,0.0,1.0
349,1.0,4.1,260,320,7000,1.0,0.0,0.0,0.0,0.0,0.69375,1.0,0.0,1.0
395,1.0,4.2,425,384,10000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,1.0
330,1.0,4.1,570,304,5000,0.0,1.0,0.0,0.0,0.0,0.5230263157894737,0.0,0.0,1.0
284,1.0,4.5,199,384,8000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,0.0
303,1.0,4.3,254,640,10000,1.0,0.0,0.0,0.0,0.0,0.484375,1.0,0.0,0.0
303,1.0,3.9,325,640,5000,1.0,0.0,0.0,0.0,0.0,0.484375,1.0,0.0,0.0
413,1.0,4.0,543,480,15000,1.0,0.0,0.0,0.0,0.0,0.6020833333333333,1.0,0.0,1.0
293,1.0,4.2,102,320,12000,0.0,0.0,0.0,1.0,1.0,0.78125,1.0,0.0,1.0
303,1.0,4.0,454,416,10000,1.0,0.0,0.0,0.0,0.0,0.6009615384615384,1.0,0.0,1.0
284,1.0,4.1,392,288,7000,1.0,0.0,0.0,0.0,0.0,0.65625,1.0,0.0,1.0
349,1.0,4.8,50,576,30000,1.0,0.0,0.0,0.0,0.0,0.4895833333333333,0.0,0.0,1.0
330,1.0,4.2,252,704,7000,1.0,0.0,0.0,0.0,0.0,0.46875,1.0,0.0,0.0
321,1.0,4.0,442,224,7000,1.0,0.0,0.0,0.0,0.0,0.7098214285714286,1.0,0.0,1.0
284,1.0,4.7,52,416,5000,0.0,1.0,0.0,0.0,0.0,0.4951923076923077,1.0,0.0,1.0
293,1.0,4.2,489,352,7000,1.0,0.0,0.0,0.0,0.0,0.7102272727272727,1.0,0.0,1.0
289,1.0,4.3,141,256,7000,0.0,1.0,0.0,0.0,0.0,0.50390625,1.0,0.0,0.0
330,1.0,4.3,154,640,15000,0.0,0.0,0.0,1.0,1.0,0.6859375,1.0,0.0,1.0
413,1.0,3.9,132,800,12000,0.0,0.0,0.0,1.0,1.0,0.66125,1.0,0.0,1.0
413,1.0,4.3,240,480,10000,1.0,0.0,0.0,0.0,0.0,0.6020833333333333,1.0,0.0,1.0
284,1.0,4.2,214,448,5000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0
293,1.0,4.2,107,320,10000,0.0,0.0,0.0,1.0,1.0,0.809375,1.0,0.0,1.0
321,1.0,4.3,73,640,10000,0.0,0.0,0.0,1.0,1.0,0.671875,1.0,0.0,1.0
321,1.0,4.6,51,448,5000,1.0,0.0,0.0,0.0,0.0,0.6026785714285714,1.0,0.0,0.0
551,1.0,4.8,55,320,10000,0.0,0.0,0.0,1.0,1.0,1.09375,1.0,0.0,1.0
299,1.0,4.1,205,416,10000,0.0,1.0,0.0,0.0,0.0,0.4807692307692308,1.0,0.0,1.0
299,1.0,4.1,351,416,7000,1.0,0.0,0.0,0.0,0.0,0.6730769230769231,1.0,0.0,1.0
312,1.0,4.7,31,352,5000,1.0,0.0,0.0,0.0,0.0,0.6534090909090909,1.0,0.0,1.0
321,1.0,4.2,192,160,5000,1.0,0.0,0.0,0.0,0.0,0.74375,1.0,0.0,1.0
358,1.0,4.2,362,672,7000,0.0,1.0,0.0,0.0,0.0,0.47470238095238093,1.0,0.0,1.0
487,1.0,4.0,76,576,8000,1.0,0.0,0.0,0.0,0.0,0.4930555555555556,1.0,0.0,1.0
303,1.0,4.2,410,160,7000,1.0,0.0,0.0,0.0,0.0,0.76875,1.0,0.0,1.0
284,1.0,4.2,312,512,7000,1.0,0.0,0.0,0.0,0.0,0.505859375,1.0,0.0,0.0
284,1.0,4.5,97,384,10000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0
330,1.0,4.2,245,224,7000,1.0,0.0,0.0,0.0,0.0,0.7589285714285714,1.0,0.0,1.0
293,1.0,4.1,280,416,20000,0.0,0.0,0.0,1.0,1.0,0.8894230769230769,1.0,0.0,1.0
358,1.0,4.2,306,608,5000,0.0,1.0,0.0,0.0,0.0,0.4753289473684211,1.0,0.0,1.0
330,1.0,4.8,41,352,10000,0.0,0.0,0.0,1.0,0.0,0.5113636363636364,1.0,0.0,1.0
505,1.0,4.1,180,288,5000,0.0,0.0,0.0,1.0,0.0,0.9027777777777778,1.0,0.0,1.0
399,1.0,4.7,22,416,5000,0.0,0.0,0.0,1.0,1.0,0.8413461538461539,1.0,0.0,1.0
597,1.0,4.3,547,384,10000,0.0,0.0,0.0,1.0,1.0,1.0130208333333333,1.0,0.0,0.0
293,1.0,4.2,152,576,10000,0.0,0.0,0.0,1.0,1.0,0.6944444444444444,1.0,0.0,1.0
717,1.0,4.2,245,544,5000,1.0,0.0,0.0,0.0,1.0,0.7702205882352942,1.0,0.0,1.0
330,1.0,4.3,128,608,10000,0.0,0.0,0.0,1.0,1.0,0.6891447368421053,1.0,0.0,1.0
299,1.0,4.1,98,352,5000,1.0,0.0,0.0,0.0,0.0,0.6221590909090909,1.0,0.0,0.0
284,1.0,4.3,86,320,7000,1.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,0.0
284,1.0,4.5,84,416,5000,1.0,0.0,0.0,0.0,0.0,0.6346153846153846,1.0,0.0,0.0
597,1.0,4.3,175,288,7000,0.0,0.0,0.0,1.0,1.0,1.3090277777777777,1.0,0.0,1.0
312,1.0,4.3,117,160,5000,0.0,1.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
551,1.0,4.8,55,256,10000,0.0,0.0,0.0,0.0,1.0,1.3203125,1.0,0.0,1.0
367,1.0,4.3,171,480,20000,0.0,0.0,0.0,1.0,1.0,0.7083333333333334,1.0,0.0,1.0
551,1.0,4.0,304,256,10000,0.0,0.0,0.0,1.0,0.0,0.8984375,1.0,0.0,1.0
367,1.0,4.1,247,384,7000,1.0,0.0,0.0,0.0,0.0,0.6223958333333334,1.0,0.0,1.0
299,1.0,4.0,291,224,5000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0
1057,1.0,4.3,942,608,7000,0.0,0.0,1.0,0.0,1.0,1.1842105263157894,1.0,0.0,1.0
299,1.0,4.0,371,224,5000,1.0,0.0,0.0,0.0,0.0,0.53125,1.0,0.0,0.0
284,1.0,4.0,316,383,7000,1.0,0.0,0.0,0.0,0.0,0.6240208877284595,1.0,0.0,0.0
303,1.0,4.3,349,512,6000,0.0,1.0,0.0,0.0,0.0,0.48828125,1.0,0.0,1.0
299,1.0,4.3,355,384,7000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,1.0
625,1.0,4.1,294,320,5000,1.0,0.0,0.0,0.0,1.0,0.90625,1.0,0.0,1.0
312,1.0,4.1,316,512,7000,1.0,0.0,0.0,0.0,0.0,0.482421875,1.0,0.0,1.0
289,1.0,4.2,130,320,5000,0.0,1.0,0.0,0.0,0.0,0.46875,1.0,0.0,0.0
299,1.0,4.0,358,352,5000,1.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,0.0
299,1.0,4.1,182,384,5000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,0.0
579,1.0,4.8,55,320,10000,0.0,0.0,0.0,0.0,1.0,1.25,1.0,0.0,1.0
551,1.0,4.1,162,320,6000,0.0,0.0,0.0,1.0,0.0,0.90625,1.0,0.0,1.0
551,1.0,4.9,13,352,4000,0.0,0.0,0.0,1.0,0.0,0.8806818181818182,1.0,0.0,1.0
299,1.0,4.1,109,320,5000,1.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,0.0
671,1.0,4.3,383,512,10000,0.0,0.0,0.0,0.0,1.0,0.95703125,1.0,0.0,1.0
321,1.0,4.0,196,224,10000,1.0,0.0,0.0,0.0,0.0,0.6696428571428571,1.0,0.0,1.0
459,1.0,3.7,15,416,7000,0.0,0.0,0.0,1.0,0.0,0.8173076923076923,1.0,0.0,1.0
